IRIG_TIME,GPS_SPD,GPS_P_LAT2,GPS_P_LON2
322:23:03:39.500000,181.52,48.40577999999999,8.026049999999998
322:23:03:39.550000,181.52,48.40577999999999,8.026049999999998
322:23:03:39.600000,181.52,48.40577999999999,8.026049999999998
322:23:03:39.650000,181.54,48.40577999999999,8.026049999999998
322:23:03:39.700000,181.54,48.41759999999999,8.031859999999998
322:23:03:39.750000,181.54,48.41759999999999,8.031859999999998
322:23:03:39.800000,181.54,48.41759999999999,8.031859999999998
322:23:03:39.850000,181.59,48.41759999999999,8.031859999999998
322:23:03:39.900000,181.59,48.42923,8.03758
322:23:03:39.950000,181.59,48.42923,8.03758
322:23:03:40.000000,181.59,48.42923,8.03758
322:23:03:40.050000,181.59,48.42923,8.03758
322:23:03:40.100000,181.59,48.42923,8.03758
322:23:03:40.150000,181.63,48.42923,8.03758
322:23:03:40.200000,181.63,48.44104,8.0434
322:23:03:40.250000,181.63,48.44104,8.0434
322:23:03:40.300000,181.69,48.44104,8.0434
322:23:03:40.350000,181.69,48.44104,8.0434
322:23:03:40.400000,181.69,48.45267,8.049139999999996
322:23:03:40.450000,181.69,48.45267,8.049139999999996
322:23:03:40.500000,181.69,48.45267,8.049139999999996
322:23:03:40.550000,181.69,48.45267,8.049139999999996
322:23:03:40.600000,181.74,48.45267,8.049139999999996
322:23:03:40.650000,181.74,48.45267,8.049139999999996
322:23:03:40.700000,181.74,48.46449,8.054969999999997
322:23:03:40.750000,181.74,48.46449,8.054969999999997
322:23:03:40.800000,181.78,48.46449,8.054969999999997
322:23:03:40.850000,181.78,48.46449,8.054969999999997
322:23:03:40.900000,181.78,48.47613000000001,8.060719999999998
322:23:03:40.950000,181.78,48.47613000000001,8.060719999999998
322:23:03:41.000000,181.78,48.47613000000001,8.060719999999998
